Kategori: Tüm kategoriler

Hafta,dolar: (Türkiye)
2016-04-10,3
2016-04-17,3
2016-04-24,3
2016-05-01,5
2016-05-08,4
2016-05-15,3
2016-05-22,3
2016-05-29,3
2016-06-05,3
2016-06-12,2
2016-06-19,3
2016-06-26,3
2016-07-03,3
2016-07-10,5
2016-07-17,6
2016-07-24,4
2016-07-31,3
2016-08-07,3
2016-08-14,3
2016-08-21,3
2016-08-28,3
2016-09-04,3
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,3
2016-10-09,3
2016-10-16,3
2016-10-23,2
2016-10-30,3
2016-11-06,6
2016-11-13,6
2016-11-20,7
2016-11-27,8
2016-12-04,12
2016-12-11,7
2016-12-18,4
2016-12-25,3
2017-01-01,4
2017-01-08,13
2017-01-15,8
2017-01-22,7
2017-01-29,7
2017-02-05,7
2017-02-12,6
2017-02-19,6
2017-02-26,6
2017-03-05,5
2017-03-12,5
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,7
2017-04-23,6
2017-04-30,5
2017-05-07,5
2017-05-14,5
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,4
2017-06-18,4
2017-06-25,4
2017-07-02,5
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,3
2017-08-13,3
2017-08-20,4
2017-08-27,4
2017-09-03,4
2017-09-10,5
2017-09-17,5
2017-09-24,5
2017-10-01,5
2017-10-08,9
2017-10-15,5
2017-10-22,8
2017-10-29,6
2017-11-05,7
2017-11-12,6
2017-11-19,8
2017-11-26,7
2017-12-03,6
2017-12-10,5
2017-12-17,4
2017-12-24,5
2017-12-31,4
2018-01-07,5
2018-01-14,5
2018-01-21,5
2018-01-28,5
2018-02-04,5
2018-02-11,4
2018-02-18,4
2018-02-25,4
2018-03-04,4
2018-03-11,5
2018-03-18,7
2018-03-25,6
2018-04-01,5
2018-04-08,8
2018-04-15,6
2018-04-22,5
2018-04-29,6
2018-05-06,8
2018-05-13,11
2018-05-20,27
2018-05-27,14
2018-06-03,10
2018-06-10,10
2018-06-17,9
2018-06-24,13
2018-07-01,9
2018-07-08,18
2018-07-15,11
2018-07-22,11
2018-07-29,19
2018-08-05,74
2018-08-12,100
2018-08-19,26
2018-08-26,33
2018-09-02,26
2018-09-09,26
2018-09-16,21
2018-09-23,23
2018-09-30,20
2018-10-07,21
2018-10-14,30
2018-10-21,18
2018-10-28,17
2018-11-04,17
2018-11-11,13
2018-11-18,12
2018-11-25,13
2018-12-02,14
2018-12-09,10
2018-12-16,10
2018-12-23,8
2018-12-30,12
2019-01-06,12
2019-01-13,12
2019-01-20,10
2019-01-27,11
2019-02-03,10
2019-02-10,9
2019-02-17,9
2019-02-24,8
2019-03-03,13
2019-03-10,11
2019-03-17,18
2019-03-24,30
2019-03-31,23
2019-04-07,22
2019-04-14,20
2019-04-21,21
2019-04-28,17
2019-05-05,32
2019-05-12,22
2019-05-19,16
2019-05-26,17
2019-06-02,15
2019-06-09,16
2019-06-16,16
2019-06-23,18
2019-06-30,19
2019-07-07,18
2019-07-14,15
2019-07-21,17
2019-07-28,17
2019-08-04,16
2019-08-11,14
2019-08-18,17
2019-08-25,20
2019-09-01,15
2019-09-08,15
2019-09-15,13
2019-09-22,11
2019-09-29,10
2019-10-06,23
2019-10-13,23
2019-10-20,15
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,9
2019-11-24,8
2019-12-01,8
2019-12-08,9
2019-12-15,14
2019-12-22,11
2019-12-29,10
2020-01-05,12
2020-01-12,9
2020-01-19,8
2020-01-26,9
2020-02-02,9
2020-02-09,10
2020-02-16,10
2020-02-23,14
2020-03-01,13
2020-03-08,14
2020-03-15,16
2020-03-22,12
2020-03-29,12
2020-04-05,11
2020-04-12,14
2020-04-19,12
2020-04-26,11
2020-05-03,17
2020-05-10,14
2020-05-17,12
2020-05-24,10
2020-05-31,11
2020-06-07,10
2020-06-14,9
2020-06-21,8
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,8
2020-07-26,13
2020-08-02,25
2020-08-09,20
2020-08-16,19
2020-08-23,13
2020-08-30,12
2020-09-06,12
2020-09-13,12
2020-09-20,15
2020-09-27,17
2020-10-04,16
2020-10-11,13
2020-10-18,13
2020-10-25,26
2020-11-01,26
2020-11-08,55
2020-11-15,28
2020-11-22,21
2020-11-29,15
2020-12-06,13
2020-12-13,13
2020-12-20,12
2020-12-27,14
2021-01-03,16
2021-01-10,13
2021-01-17,11
2021-01-24,11
2021-01-31,16
2021-02-07,14
2021-02-14,15
2021-02-21,18
2021-02-28,17
2021-03-07,18
2021-03-14,16
2021-03-21,46
2021-03-28,29
2021-04-04,21
