Kategori: Tüm kategoriler

Hafta,enflasyon: (Türkiye)
2016-04-10,3
2016-04-17,3
2016-04-24,3
2016-05-01,5
2016-05-08,3
2016-05-15,4
2016-05-22,3
2016-05-29,6
2016-06-05,3
2016-06-12,2
2016-06-19,3
2016-06-26,3
2016-07-03,15
2016-07-10,4
2016-07-17,2
2016-07-24,2
2016-07-31,7
2016-08-07,3
2016-08-14,2
2016-08-21,1
2016-08-28,4
2016-09-04,6
2016-09-11,1
2016-09-18,2
2016-09-25,3
2016-10-02,6
2016-10-09,2
2016-10-16,4
2016-10-23,3
2016-10-30,6
2016-11-06,4
2016-11-13,4
2016-11-20,3
2016-11-27,6
2016-12-04,10
2016-12-11,5
2016-12-18,4
2016-12-25,6
2017-01-01,21
2017-01-08,7
2017-01-15,3
2017-01-22,4
2017-01-29,11
2017-02-05,5
2017-02-12,3
2017-02-19,2
2017-02-26,11
2017-03-05,6
2017-03-12,4
2017-03-19,4
2017-03-26,5
2017-04-02,16
2017-04-09,4
2017-04-16,3
2017-04-23,4
2017-04-30,14
2017-05-07,6
2017-05-14,4
2017-05-21,6
2017-05-28,12
2017-06-04,19
2017-06-11,7
2017-06-18,6
2017-06-25,8
2017-07-02,23
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,6
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,2
2017-09-03,7
2017-09-10,3
2017-09-17,1
2017-09-24,3
2017-10-01,11
2017-10-08,4
2017-10-15,4
2017-10-22,5
2017-10-29,17
2017-11-05,8
2017-11-12,8
2017-11-19,5
2017-11-26,9
2017-12-03,24
2017-12-10,9
2017-12-17,12
2017-12-24,16
2017-12-31,36
2018-01-07,7
2018-01-14,6
2018-01-21,5
2018-01-28,9
2018-02-04,9
2018-02-11,4
2018-02-18,4
2018-02-25,6
2018-03-04,13
2018-03-11,4
2018-03-18,4
2018-03-25,6
2018-04-01,13
2018-04-08,5
2018-04-15,5
2018-04-22,5
2018-04-29,19
2018-05-06,7
2018-05-13,8
2018-05-20,11
2018-05-27,13
2018-06-03,35
2018-06-10,9
2018-06-17,10
2018-06-24,13
2018-07-01,60
2018-07-08,10
2018-07-15,8
2018-07-22,9
2018-07-29,23
2018-08-05,15
2018-08-12,9
2018-08-19,5
2018-08-26,14
2018-09-02,35
2018-09-09,14
2018-09-16,16
2018-09-23,17
2018-09-30,63
2018-10-07,25
2018-10-14,23
2018-10-21,17
2018-10-28,43
2018-11-04,63
2018-11-11,17
2018-11-18,14
2018-11-25,24
2018-12-02,64
2018-12-09,18
2018-12-16,24
2018-12-23,31
2018-12-30,100
2019-01-06,13
2019-01-13,14
2019-01-20,13
2019-01-27,19
2019-02-03,25
2019-02-10,8
2019-02-17,5
2019-02-24,12
2019-03-03,23
2019-03-10,7
2019-03-17,8
2019-03-24,8
2019-03-31,19
2019-04-07,7
2019-04-14,7
2019-04-21,8
2019-04-28,37
2019-05-05,9
2019-05-12,8
2019-05-19,9
2019-05-26,12
2019-06-02,29
2019-06-09,12
2019-06-16,13
2019-06-23,12
2019-06-30,50
2019-07-07,6
2019-07-14,6
2019-07-21,8
2019-07-28,10
2019-08-04,15
2019-08-11,7
2019-08-18,7
2019-08-25,10
2019-09-01,24
2019-09-08,6
2019-09-15,6
2019-09-22,6
2019-09-29,34
2019-10-06,9
2019-10-13,6
2019-10-20,7
2019-10-27,11
2019-11-03,30
2019-11-10,9
2019-11-17,7
2019-11-24,9
2019-12-01,34
2019-12-08,9
2019-12-15,10
2019-12-22,17
2019-12-29,51
2020-01-05,10
2020-01-12,8
2020-01-19,8
2020-01-26,10
2020-02-02,17
2020-02-09,5
2020-02-16,5
2020-02-23,5
2020-03-01,18
2020-03-08,5
2020-03-15,3
2020-03-22,4
2020-03-29,12
2020-04-05,4
2020-04-12,5
2020-04-19,6
2020-04-26,9
2020-05-03,21
2020-05-10,6
2020-05-17,5
2020-05-24,7
2020-05-31,33
2020-06-07,11
2020-06-14,10
2020-06-21,12
2020-06-28,44
2020-07-05,10
2020-07-12,4
2020-07-19,4
2020-07-26,6
2020-08-02,14
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,17
2020-09-06,8
2020-09-13,5
2020-09-20,5
2020-09-27,10
2020-10-04,17
2020-10-11,5
2020-10-18,5
2020-10-25,11
2020-11-01,32
2020-11-08,10
2020-11-15,11
2020-11-22,10
2020-11-29,46
2020-12-06,14
2020-12-13,17
2020-12-20,19
2020-12-27,34
2021-01-03,48
2021-01-10,10
2021-01-17,11
2021-01-24,9
2021-01-31,21
2021-02-07,7
2021-02-14,6
2021-02-21,7
2021-02-28,22
2021-03-07,6
2021-03-14,5
2021-03-21,9
2021-03-28,13
2021-04-04,44
