price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits,ty_visits,category_basket,category_favored
82.44444444,01/05/2021,85004,72,3854,535,551,581,35433,5261,167166342,247973,33621
66.09335378,01/05/2021,4066298,489,5741,324,1491,1984,4852,3676,167166342,53145,12710
125.0816471,01/05/2021,6676673,425,19304,1078,1809,938,22349,5685,167166342,349531,31028
279,01/05/2021,7061886,60,4185,340,235,363,12638,1810,167166342,175615,9220
59.99,01/05/2021,31515569,502,24210,1512,2964,2012,101306,16711,167166342,1144597,89139
59.99,01/05/2021,32737302,29,3007,302,251,2594,64542,3989,167166342,654038,26379
141.1954229,01/05/2021,32939029,201,7693,885,898,1090,5412,1153,167166342,57561,4869
,01/05/2021,48740784,0,2,0,0,44,48728,3664,167166342,822595,28426
59.99,01/05/2021,73318567,104,9811,913,555,2594,64542,3989,167166342,654038,26379
78.7822905,30/04/2021,85004,179,6724,1661,1114,981,42077,7778,166390910,309068,46802
66.02675367,30/04/2021,4066298,613,7826,437,1980,2691,4943,4842,166390910,66063,16400
125.7290476,30/04/2021,6676673,420,20360,1227,1682,1055,25487,6879,166390910,401092,36468
280.9166667,30/04/2021,7061886,60,3782,320,214,369,13439,2045,166390910,180547,9891
60.06146891,30/04/2021,31515569,823,28169,1681,3602,3259,89904,17055,166390910,1078857,85551
59.99,30/04/2021,32737302,39,3030,262,196,2367,49407,3849,166390910,513576,21334
136.7768182,30/04/2021,32939029,264,8343,941,1031,1576,8649,1648,166390910,76085,6714
,30/04/2021,48740784,0,2,0,0,46,44648,3795,166390910,761921,25825
59.99,30/04/2021,73318567,89,5122,493,347,2367,49407,3849,166390910,513576,21334
78.55338798,29/04/2021,85004,183,6081,819,970,1209,51359,9915,165272801,367675,53895
66.06757642,29/04/2021,4066298,916,12022,820,3156,4215,8135,6796,165272801,95515,23529
121.8569983,29/04/2021,6676673,593,23380,1678,2127,1218,34320,7195,165272801,427771,36167
279,29/04/2021,7061886,68,4260,432,220,437,18980,2268,165272801,213893,10843
60.04027515,29/04/2021,31515569,1163,34551,2771,4320,4136,88268,19019,165272801,1052519,83742
59.99,29/04/2021,32737302,35,2428,233,187,2362,39275,3442,165272801,412303,17204
135.1244964,29/04/2021,32939029,278,8830,790,1175,2078,9786,2199,165272801,89891,9232
,29/04/2021,48740784,0,3,0,0,71,46209,4662,165272801,752518,27936
59.99,29/04/2021,73318567,96,3297,280,316,2362,39275,3442,165272801,412303,17204
78.90850575,28/04/2021,85004,174,5824,999,866,1039,73350,9860,169419187,467288,68838
66.09016113,28/04/2021,4066298,993,10403,830,3031,3899,8630,6657,169419187,91343,23726
127.5292683,28/04/2021,6676673,328,16914,1149,1395,898,34875,6683,169419187,418031,38066
278.7830769,28/04/2021,7061886,65,4297,391,235,370,22398,1963,169419187,209925,11313
59.99,28/04/2021,31515569,857,36344,3580,4217,3144,93898,15974,169419187,1060060,82415
59.99,28/04/2021,32737302,49,2472,263,201,2035,43546,2869,169419187,405610,16909
137.9661165,28/04/2021,32939029,206,8797,1080,954,2144,15283,2288,169419187,111027,10602
,28/04/2021,48740784,0,0,0,0,30,48395,4487,169419187,788813,29574
59.99,28/04/2021,73318567,89,2657,227,303,2035,43546,2869,169419187,405610,16909
79.38156627,27/04/2021,85004,166,6390,1359,893,1190,65571,8908,178545693,409770,59836
66.06297703,27/04/2021,4066298,1132,15197,1579,3633,4406,13327,7740,178545693,113444,28022
133.6567398,27/04/2021,6676673,319,22423,2212,1683,1050,41026,6978,178545693,454458,40304
278.2416393,27/04/2021,7061886,61,4044,394,261,439,24644,2135,178545693,230409,12961
59.99,27/04/2021,31515569,940,47085,6006,5897,3636,114865,17597,178545693,1253558,105757
59.99,27/04/2021,32737302,50,3449,379,272,2138,45340,2975,178545693,423512,17015
138.3784615,27/04/2021,32939029,234,9157,1093,1164,2006,9991,2115,178545693,84580,8954
,27/04/2021,48740784,0,1,0,0,60,53834,4321,178545693,849375,29314
,27/04/2021,73318567,0,283,28,0,2138,45340,2975,178545693,423512,17015
82.09767442,26/04/2021,85004,86,4260,689,517,897,40497,5241,138166259,274371,36671
66.94982558,26/04/2021,4066298,688,11089,1050,2837,2539,9039,4556,138166259,79906,19234
130.2437026,26/04/2021,6676673,343,20151,1735,1656,825,30095,5329,138166259,364599,31186
280.5758065,26/04/2021,7061886,31,3049,327,196,235,13253,1147,138166259,143496,7958
