price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits
82.44444444,01/05/2021,85004,72,3854,535,551,581,35433,5261
66.09335378,01/05/2021,4066298,489,5741,324,1491,1984,4852,3676
125.0816471,01/05/2021,6676673,425,19304,1078,1809,938,22349,5685
279,01/05/2021,7061886,60,4185,340,235,363,12638,1810
59.99,01/05/2021,31515569,502,24210,1512,2964,2012,101306,16711
59.99,01/05/2021,32737302,29,3007,302,251,2594,64542,3989
141.1954229,01/05/2021,32939029,201,7693,885,898,1090,5412,1153
,01/05/2021,48740784,0,2,0,0,44,48728,3664
59.99,01/05/2021,73318567,104,9811,913,555,2594,64542,3989
78.7822905,30/04/2021,85004,179,6724,1661,1114,981,42077,7778
66.02675367,30/04/2021,4066298,613,7826,437,1980,2691,4943,4842
125.7290476,30/04/2021,6676673,420,20360,1227,1682,1055,25487,6879
280.9166667,30/04/2021,7061886,60,3782,320,214,369,13439,2045
60.06146891,30/04/2021,31515569,823,28169,1681,3602,3259,89904,17055
59.99,30/04/2021,32737302,39,3030,262,196,2367,49407,3849
136.7768182,30/04/2021,32939029,264,8343,941,1031,1576,8649,1648
,30/04/2021,48740784,0,2,0,0,46,44648,3795
59.99,30/04/2021,73318567,89,5122,493,347,2367,49407,3849
78.55338798,29/04/2021,85004,183,6081,819,970,1209,51359,9915
66.06757642,29/04/2021,4066298,916,12022,820,3156,4215,8135,6796
121.8569983,29/04/2021,6676673,593,23380,1678,2127,1218,34320,7195
279,29/04/2021,7061886,68,4260,432,220,437,18980,2268
60.04027515,29/04/2021,31515569,1163,34551,2771,4320,4136,88268,19019
59.99,29/04/2021,32737302,35,2428,233,187,2362,39275,3442
135.1244964,29/04/2021,32939029,278,8830,790,1175,2078,9786,2199
,29/04/2021,48740784,0,3,0,0,71,46209,4662
59.99,29/04/2021,73318567,96,3297,280,316,2362,39275,3442
78.90850575,28/04/2021,85004,174,5824,999,866,1039,73350,9860
66.09016113,28/04/2021,4066298,993,10403,830,3031,3899,8630,6657
127.5292683,28/04/2021,6676673,328,16914,1149,1395,898,34875,6683
278.7830769,28/04/2021,7061886,65,4297,391,235,370,22398,1963
59.99,28/04/2021,31515569,857,36344,3580,4217,3144,93898,15974
59.99,28/04/2021,32737302,49,2472,263,201,2035,43546,2869
137.9661165,28/04/2021,32939029,206,8797,1080,954,2144,15283,2288
,28/04/2021,48740784,0,0,0,0,30,48395,4487
59.99,28/04/2021,73318567,89,2657,227,303,2035,43546,2869
79.38156627,27/04/2021,85004,166,6390,1359,893,1190,65571,8908
66.06297703,27/04/2021,4066298,1132,15197,1579,3633,4406,13327,7740
133.6567398,27/04/2021,6676673,319,22423,2212,1683,1050,41026,6978
278.2416393,27/04/2021,7061886,61,4044,394,261,439,24644,2135
59.99,27/04/2021,31515569,940,47085,6006,5897,3636,114865,17597
59.99,27/04/2021,32737302,50,3449,379,272,2138,45340,2975
138.3784615,27/04/2021,32939029,234,9157,1093,1164,2006,9991,2115
,27/04/2021,48740784,0,1,0,0,60,53834,4321
,27/04/2021,73318567,0,283,28,0,2138,45340,2975
82.09767442,26/04/2021,85004,86,4260,689,517,897,40497,5241
66.94982558,26/04/2021,4066298,688,11089,1050,2837,2539,9039,4556
130.2437026,26/04/2021,6676673,343,20151,1735,1656,825,30095,5329
280.5758065,26/04/2021,7061886,31,3049,327,196,235,13253,1147
60.12539257,26/04/2021,31515569,449,30116,2878,4202,1679,87105,10444
59.99,26/04/2021,32737302,33,3513,362,271,1707,50568,2415
140.2408796,26/04/2021,32939029,216,9444,1559,1243,1042,7894,1087
,26/04/2021,48740784,0,0,0,0,26,49142,3110
,26/04/2021,73318567,0,243,18,0,1707,50568,2415
84.2,25/04/2021,85004,64,3863,801,413,384,44103,4078
74.58528302,25/04/2021,4066298,212,5556,489,806,1233,5719,2757
129.9141631,25/04/2021,6676673,233,17918,1618,1265,595,28617,4332
283.7842105,25/04/2021,7061886,19,3736,484,159,151,11878,749
60.19000547,25/04/2021,31515569,297,20570,1986,2263,1065,98588,10086
59.99,25/04/2021,32737302,20,3493,444,217,1786,67843,2434
141.7628866,25/04/2021,32939029,194,9782,1685,1190,836,7579,891
,25/04/2021,48740784,0,3,0,0,34,51872,2946
,25/04/2021,73318567,0,561,44,0,1786,67843,2434
84.27982759,24/04/2021,85004,58,3524,700,375,396,39001,4061
70.19303977,24/04/2021,4066298,352,8711,791,1673,1434,7852,3159
130.0610687,24/04/2021,6676673,262,18845,2019,1224,632,28431,4553
284,24/04/2021,7061886,29,3158,366,154,147,10437,755
59.99,24/04/2021,31515569,340,23377,2430,2473,1242,106895,10799
59.99,24/04/2021,32737302,25,3339,364,223,1855,67635,2602
142.132,24/04/2021,32939029,150,9234,1560,1180,971,9130,1021
,24/04/2021,48740784,0,8,0,0,43,55286,3389
59.99,24/04/2021,73318567,2,461,44,5,1855,67635,2602
83.25789474,23/04/2021,85004,57,2935,470,360,362,32112,3838
64.05627193,23/04/2021,4066298,1140,16088,1729,4463,2773,9917,4610
129.8548387,23/04/2021,6676673,248,19146,1988,1210,696,33854,4950
284,23/04/2021,7061886,28,2459,278,121,122,9651,728
59.99,23/04/2021,31515569,322,21993,1978,2333,1154,100768,10804
59.99,23/04/2021,32737302,17,2485,291,150,1728,54558,2536
140.4324747,23/04/2021,32939029,198,9493,1706,1229,1049,9528,1091
,23/04/2021,48740784,0,0,0,0,40,49718,3263
,23/04/2021,73318567,0,228,20,0,1728,54558,2536
84.09482759,22/04/2021,85004,58,2741,397,313,422,28072,3614
64.53347107,22/04/2021,4066298,726,8415,493,2529,2081,4618,3662
129.9731861,22/04/2021,6676673,317,14950,772,1086,793,20382,5156
285.5714286,22/04/2021,7061886,14,1778,137,79,119,6642,680
59.99,22/04/2021,31515569,258,17248,1134,2097,1021,89296,9667
58.24,22/04/2021,32737302,20,2216,246,157,1285,37845,1828
145.992378,22/04/2021,32939029,164,6002,593,769,709,3763,743
,22/04/2021,48740784,0,1,0,0,29,44072,2997
,22/04/2021,73318567,0,126,7,0,1285,37845,1828
83.17666667,21/04/2021,85004,48,2760,396,321,443,27604,4028
74.99635659,21/04/2021,4066298,258,4270,259,823,1356,4257,2994
131.6512195,21/04/2021,6676673,287,15182,736,1110,877,21465,5618
283.7727273,21/04/2021,7061886,22,1968,180,100,148,7708,794
59.99,21/04/2021,31515569,456,21121,1579,2305,1694,111333,14191
54.99,21/04/2021,32737302,32,3444,389,238,1969,47905,2874
152.9167068,21/04/2021,32939029,249,8545,899,1357,1023,4897,1082
,21/04/2021,48740784,0,1,0,0,39,54755,4038
,21/04/2021,73318567,0,217,15,0,1969,47905,2874
85.18965517,20/04/2021,85004,58,3026,465,331,454,28991,4055
75,20/04/2021,4066298,292,5014,327,865,1497,4981,3228
133.1864912,20/04/2021,6676673,285,20106,1226,1277,936,24894,5515
284,20/04/2021,7061886,27,1946,191,111,145,6954,785
59.99,20/04/2021,31515569,475,23384,1551,3014,1747,99650,14412
56.66934705,20/04/2021,32737302,40,2899,306,236,1686,43025,2384
143.9150811,20/04/2021,32939029,185,5899,795,711,928,4380,969
,20/04/2021,48740784,0,2,0,0,61,57093,4174
,20/04/2021,73318567,0,238,14,0,1686,43025,2384
86.09061538,19/04/2021,85004,65,3171,426,380,475,29857,4397
70.8725,19/04/2021,4066298,408,5308,320,1042,1767,5108,3731
129.0482185,19/04/2021,6676673,421,21766,1298,1753,1019,21829,5562
281.1875,19/04/2021,7061886,16,1932,202,117,173,7175,736
60.13089346,19/04/2021,31515569,398,21832,1329,2977,1410,88864,12273
54.99,19/04/2021,32737302,26,2829,358,162,1460,39108,1895
143.1451813,19/04/2021,32939029,193,5616,567,741,1017,4702,1092
,19/04/2021,48740784,0,0,0,0,26,51990,3545
,19/04/2021,73318567,0,164,7,0,1460,39108,1895
83.50239437,18/04/2021,85004,71,3458,550,436,492,39654,4610
69,18/04/2021,4066298,481,5311,276,1159,1903,4844,3876
128.23523,18/04/2021,6676673,413,19463,1027,1585,921,20810,4827
275,18/04/2021,7061886,31,2798,277,142,184,8279,911
60.11639972,18/04/2021,31515569,441,24438,1512,2983,1491,111099,13541
54.99,18/04/2021,32737302,23,3507,418,223,1724,53226,2166
142.0974093,18/04/2021,32939029,193,6266,927,766,968,7122,1026
,18/04/2021,48740784,0,2,0,0,46,64192,3857
,18/04/2021,73318567,0,236,22,0,1724,53226,2166
84.07985915,17/04/2021,85004,71,3232,548,368,480,37050,4494
69.09905213,17/04/2021,4066298,422,5032,314,1150,1786,5412,3780
130.2935211,17/04/2021,6676673,355,20361,1016,1645,933,20710,5055
275,17/04/2021,7061886,26,2395,222,126,152,9814,977
59.99,17/04/2021,31515569,360,25918,1674,3600,1322,107114,13205
54.99,17/04/2021,32737302,27,3242,353,221,1734,57231,2202
142.5423485,17/04/2021,32939029,132,5669,655,603,953,5424,1006
,17/04/2021,48740784,0,1,0,0,34,63757,4048
,17/04/2021,73318567,0,328,23,0,1734,57231,2202
84.57014493,16/04/2021,85004,69,3454,557,441,449,40174,4196
69,16/04/2021,4066298,447,4943,317,1146,1939,4929,3853
126.168295,16/04/2021,6676673,522,30148,2623,2634,1244,30285,6078
275,16/04/2021,7061886,25,2299,251,112,149,11034,959
59.99,16/04/2021,31515569,315,22957,1622,2717,1043,78045,11136
55.70428571,16/04/2021,32737302,21,2248,269,149,1329,44569,1761
142.2866977,16/04/2021,32939029,215,7955,1148,929,1063,5227,1118
,16/04/2021,48740784,0,1,0,0,33,56561,4055
,16/04/2021,73318567,0,213,21,0,1329,44569,1761
83.94877778,15/04/2021,85004,90,3770,567,502,565,50846,6122
69.0206379,15/04/2021,4066298,533,5288,281,1427,2363,7443,4452
123.21493,15/04/2021,6676673,714,45148,4104,3785,1519,37032,6466
277.3823529,15/04/2021,7061886,34,2088,188,133,134,16920,918
59.99,15/04/2021,31515569,349,21084,1231,2726,1145,78711,11090
59.99,15/04/2021,32737302,17,2244,276,149,1299,42703,1646
143.2595652,15/04/2021,32939029,184,8176,1388,918,1290,6516,1349
,15/04/2021,48740784,0,3,0,0,50,49581,3990
,15/04/2021,73318567,0,249,15,0,1299,42703,1646
85.54428571,14/04/2021,85004,49,3183,544,409,459,39568,4599
69,14/04/2021,4066298,366,4798,303,1265,1762,5409,3456
126.1714592,14/04/2021,6676673,466,20154,1042,1697,933,17379,4567
283.6666667,14/04/2021,7061886,15,1587,144,70,101,5776,657
59.99,14/04/2021,31515569,310,23549,1467,3157,935,73047,8850
59.99,14/04/2021,32737302,16,2363,320,150,1196,48835,1458
150.6218579,14/04/2021,32939029,183,6160,546,792,943,4603,993
,14/04/2021,48740784,0,3,0,0,36,51064,3323
,14/04/2021,73318567,0,189,12,2,1196,48835,1458
86.36415094,13/04/2021,85004,53,3036,593,423,595,33757,4342
69.3653352,13/04/2021,4066298,358,4769,340,1096,1633,5864,3183
123.9891945,13/04/2021,6676673,509,20176,1005,1813,922,16345,4174
284,13/04/2021,7061886,19,1373,147,81,93,5239,573
59.99,13/04/2021,31515569,252,16568,1078,1549,707,61103,7518
59.99,13/04/2021,32737302,16,1778,203,116,905,36190,1139
141.0773585,13/04/2021,32939029,159,4674,454,568,844,3285,878
,13/04/2021,48740784,0,0,0,0,38,47022,3195
